Kategori,Isim,Kutle_Mgunes,Yaricap_Rgunes,Hiz_veq_kms,Acisal_Momentum_J,Evrenaki_Kutlesi_Mevr_kg
Konvektif (Gercek Gozlem),XO-2 S,0.98,1.02,1.7,1.6460006232852e+41,2.8702336765120334e+28
Konvektif (Gercek Gozlem),Kepler-418,0.98,1.09,3.5,3.6213912213570004e+41,4.257356126514785e+28
Radyatif (Gercek Gozlem),HR 8799,1.5,1.49338,34.79,7.548677040091578e+42,1.9437378003945055e+29
Konvektif (Gercek Gozlem),CoRoT-17,1.04,1.59,4.5,7.207718286132e+41,6.006218951782956e+28
Konvektif (Gercek Gozlem),CoRoT-7,0.915,0.8389,3.5,2.6022808111502476e+41,3.608937306775427e+28
Radyatif (Gercek Gozlem),TOI-4377,1.36,3.52,1.26,5.842610615761921e+41,5.4076145733755645e+28
Konvektif (Gercek Gozlem),HD 64114,0.95,0.882858,2.0,1.624797657131922e+41,2.8516872910727215e+28
Konvektif (Gercek Gozlem),TOI-858 B,1.081,1.308,5.8,7.943579713002024e+41,6.305367255063844e+28
Konvektif (Gercek Gozlem),HD 27969,1.16,1.27,4.1,5.8505998191732e+41,5.411310504604522e+28
Konvektif (Gercek Gozlem),Kepler-900,0.78,0.73,5.2,2.8679767939368e+41,3.7886987486328193e+28
Konvektif (Gercek Gozlem),TOI-1296,1.1576,1.7031,4.0,7.638595011115288e+41,6.183138868070025e+28
Konvektif (Gercek Gozlem),HD 24040,1.11,1.3,2.39,3.3405583230747002e+41,4.088949880653956e+28
Konvektif (Gercek Gozlem),HD 191939,0.81,0.94,2.0,1.475019271908e+41,2.7170717396451603e+28
Konvektif (Gercek Gozlem),WASP-105,0.89,0.9,1.7,1.3189740888870003e+41,2.5693329710941227e+28
Konvektif (Gercek Gozlem),GJ 887,0.495,0.468,2.5,5.609780741565001e+40,1.6756187122526865e+28
Konvektif (Gercek Gozlem),TOI-1759,0.606,0.597,2.0,7.0086081196404e+40,1.8729153402361495e+28
Konvektif (Gercek Gozlem),HIP 70849,0.65,0.633112,0.3,1.1958314831157243e+40,7.736370310511744e+27
Konvektif (Gercek Gozlem),KOI-142,0.99,0.897,1.8,1.5482994846719399e+41,2.783746876070044e+28
Konvektif (Gercek Gozlem),Barnard's star,0.162,0.185,0.0659130659370024,1.913432219958504e+38,9.786080848649346e+26
Konvektif (Gercek Gozlem),HATS-62,0.896,0.933,0.5,4.0486896201024003e+40,1.4235066495216775e+28
Radyatif (Gercek Gozlem),TOI-5110,1.469,2.333,2.3,7.635178541799083e+41,6.181755965404266e+28
Konvektif (Gercek Gozlem),GJ 229,0.509,0.46,1.0,2.267934149754e+40,1.0654117406214623e+28
Konvektif (Gercek Gozlem),TOI-791,1.28,1.474,44.58,8.147086808494236e+42,2.0193120178101227e+29
Radyatif (Gercek Gozlem),HD 180902,1.41,4.16,1.36,7.726915771061759e+41,6.218782204532991e+28
Radyatif (Gercek Gozlem),Qatar-7,1.409,1.564,13.8,2.945653470762257e+42,1.2142079872977058e+29
Konvektif (Gercek Gozlem),TOI-5624,0.858,0.82,2.0,1.3629689505432e+41,2.6118320043860276e+28
Radyatif (Gercek Gozlem),TOI-6695,1.338,1.517,6.7,1.31725945163014e+42,8.119661414307248e+28
Konvektif (Gercek Gozlem),GJ 3998,0.52,0.5,0.93,2.34213067998e+40,1.0826992091839576e+28
Konvektif (Gercek Gozlem),HD 207496,0.8,0.769,3.1477193099749794,1.8757162962060236e+41,3.0639793488991724e+28
Konvektif (Gercek Gozlem),WASP-37,0.925,1.003,2.4,2.1567943341126e+41,3.2855389872896046e+28
Konvektif (Gercek Gozlem),TOI-1203,0.886,1.179,1.4,1.416545044554276e+41,2.66267065890793e+28
Konvektif (Gercek Gozlem),HAT-P-40,1.03,1.94,6.9,1.33549686189738e+42,8.17567641113863e+28
Konvektif (Gercek Gozlem),HD 81688,1.07,11.13,1.21,1.3957869669954212e+42,8.358182072516031e+28
Konvektif (Gercek Gozlem),K2-19,0.892,0.824,3.0,2.13583720450464e+41,3.2695375664490567e+28
Konvektif (Gercek Gozlem),HD 169830,1.17,1.935709,3.8,8.336127608889164e+41,6.459284821468292e+28
Konvektif (Gercek Gozlem),TOI-2525,0.849,0.785,1.5,9.68330101509225e+40,2.2014760967475154e+28
Konvektif (Gercek Gozlem),K2-104,0.51,0.48,2.6,6.165092370527999e+40,1.75659665748318e+28
Radyatif (Gercek Gozlem),KOI-134,1.407,1.667,10.59,2.405916130342717e+42,1.097343258692902e+29
Konvektif (Gercek Gozlem),HD 150706,1.17,0.96,3.7,4.025442665462399e+41,4.488581144192449e+28
Radyatif (Gercek Gozlem),HR 8799,1.51,1.49338,34.79,7.59900155369219e+42,1.9502061636983466e+29
Radyatif (Gercek Gozlem),HD 95089,1.54,5.08,1.71,1.2957922257199921e+42,8.053227039625255e+28
Konvektif (Gercek Gozlem),HIP 10090,0.94,1.38268,2.7,3.399132744802922e+41,4.124642578504836e+28
Konvektif (Gercek Gozlem),HD 5583,1.01,9.09,2.2,1.95642302033178e+42,9.89540651447305e+28
Konvektif (Gercek Gozlem),K2-39,0.66,2.97,2.01,3.816376990646221e+41,4.3704674737572725e+28
Konvektif (Gercek Gozlem),GSC 06214-00210,0.9,0.90484,4.24,3.344529135396759e+41,4.091379359341521e+28
Konvektif (Gercek Gozlem),HD 89839,1.21,1.28588,4.2,6.329799136378317e+41,5.628558994827169e+28
Konvektif (Gercek Gozlem),Kepler-106,1.0,1.04,0.3,3.0221041032e+40,1.2298636575719344e+28
Konvektif (Gercek Gozlem),HATS-72,0.7311,0.7214,0.8,4.086935044937035e+40,1.430214332016017e+28
Konvektif (Gercek Gozlem),WASP-46,0.828,0.858,1.9,1.3074528981674159e+41,2.558086843548556e+28
Radyatif (Gercek Gozlem),HD 1605,1.33,3.49,0.54,2.4278712604309804e+41,3.4859012909095496e+28
Konvektif (Gercek Gozlem),Kepler-27,0.65,0.59,0.6,2.2288017761100007e+40,1.0561801003898245e+28
Konvektif (Gercek Gozlem),TOI-2141,0.896,0.95,2.7,2.2261283763264e+41,3.337931045617524e+28
Konvektif (Gercek Gozlem),GJ 317,0.402,0.403,2.5,3.9230688889665005e+40,1.401248708269048e+28
Konvektif (Gercek Gozlem),K2-308,1.09,1.24,29.0,3.7966538868804005e+42,1.378487276187492e+29
Konvektif (Gercek Gozlem),TOI-4562,1.192,1.152,17.0,2.2611661863598076e+42,1.0638208533338175e+29
Konvektif (Gercek Gozlem),CoRoT-35,1.01,1.65,8.8,1.4205051632772e+42,8.43186542340296e+28
Konvektif (Gercek Gozlem),Kepler-51,1.04,0.94,5.784136194436206,5.477148674357631e+41,5.235757493268426e+28
Konvektif (Gercek Gozlem),HAT-P-27,0.916,0.864673,0.4,3.0687548054400623e+40,1.2393196988816352e+28
Konvektif (Gercek Gozlem),GJ 3090,0.519,0.516,1.468,3.8080087843844596e+40,1.3805471025990835e+28
Konvektif (Gercek Gozlem),Kepler-117,1.129,1.606,6.0,1.0537693433106841e+42,7.262314257446321e+28
Konvektif (Gercek Gozlem),K2-97,1.17,4.14,2.8,1.3137086536610397e+42,8.108710370146347e+28
Konvektif (Gercek Gozlem),TOI-199,0.936,0.82,0.5,3.7171880469360006e+40,1.3639847792207749e+28
Konvektif (Gercek Gozlem),BD+48 740,1.09,10.33,0.7,7.634483942166901e+41,6.181474770730338e+28
Konvektif (Gercek Gozlem),HD 4308,0.93,1.02,1.2,1.1026030585752003e+41,2.3491559817736035e+28
Konvektif (Gercek Gozlem),TOI-707,0.99,0.978,4.9,4.59541731106458e+41,4.795840556353481e+28
Konvektif (Gercek Gozlem),GJ 3929,0.313,0.32,2.0,1.9403458139520002e+40,9.854664129370555e+27
Konvektif (Gercek Gozlem),TOI-283,0.8,0.85,1.4334607312785927,9.441685702838824e+40,2.1738372569811318e+28
Radyatif (Gercek Gozlem),HIP 8541,2.009,6.84,1.3,1.7303510358487084e+42,9.306135392760187e+28
Konvektif (Gercek Gozlem),HD 92788,1.15,1.14,2.719,3.452762655513989e+41,4.1570535685677526e+28
Konvektif (Gercek Gozlem),HIP 41378,1.22,1.3,5.6,8.602923013776e+41,6.561834556099508e+28
Konvektif (Gercek Gozlem),HD 207832,0.94,0.901,3.0,2.4610969703502e+41,3.5096727275353474e+28
Konvektif (Gercek Gozlem),HD 3167,0.864,0.871,2.41,1.7567249383573344e+41,2.9652010233533185e+28
Radyatif (Gercek Gozlem),HAT-P-49,2.22,2.06,10.68,4.730927296704337e+42,1.5387759680447315e+29
Konvektif (Gercek Gozlem),TOI-6019,1.13,2.02,3.5,7.738426888101e+41,6.223412673590817e+28
Konvektif (Gercek Gozlem),16 Cyg B,1.08,1.13,2.7,3.1916906372988e+41,3.996802173501725e+28
Konvektif (Gercek Gozlem),Kepler-19,0.936,0.859,2.0,1.5575924547892802e+41,2.7920884713737814e+28
Konvektif (Gercek Gozlem),HD 72659,1.033,1.36,1.6,2.17727877564288e+41,3.3011045377848585e+28
Radyatif (Gercek Gozlem),HD 174205,1.8,26.6,1.6,7.420427921088001e+42,1.9271553877236864e+29
Konvektif (Gercek Gozlem),HD 110067,0.798,0.788,2.5,1.5227336463066001e+41,2.760668310582431e+28
Konvektif (Gercek Gozlem),Qatar-2,0.743,0.776,3.28,1.8318048528596547e+41,3.0279023195530974e+28
Konvektif (Gercek Gozlem),HD 222076,1.07,4.1,3.2,1.3597918667424e+42,8.249706115256962e+28
Radyatif (Gercek Gozlem),HD 40979,1.45,1.21,7.4,1.2575924424063001e+42,7.933635023430306e+28
Konvektif (Gercek Gozlem),TOI-286,0.832,0.78,1.0961758533306885,6.890535691893224e+40,1.8570720402044506e+28
Konvektif (Gercek Gozlem),Kepler-278,1.227,2.861,2.5,8.500750226575427e+41,6.522752289509961e+28
Konvektif (Gercek Gozlem),HD 1461,1.02,1.152288,1.6,1.82152870703871e+41,3.0193973397830633e+28
Konvektif (Gercek Gozlem),HD 74156,1.1,1.510576,4.06,6.534556623568733e+41,5.7188712703163825e+28
Konvektif (Gercek Gozlem),V830 Tau,1.0,2.0,30.5,5.908600971e+42,1.7196679165592536e+29
Konvektif (Gercek Gozlem),Proxima Cen,0.1221,0.141,0.08574008616103573,1.429794159479725e+38,8.459389413144987e+26
Konvektif (Gercek Gozlem),HD 15906,0.79,0.762,2.7,1.5743476973460598e+41,2.8070657464397115e+28
Konvektif (Gercek Gozlem),HD 196050,1.27,1.42,3.3,5.764489224694201e+41,5.37134037470089e+28
Konvektif (Gercek Gozlem),61 Vir,0.942,0.963,1.9,1.6694969015137138e+41,2.8906470465825613e+28
Konvektif (Gercek Gozlem),TOI-1807,0.8048,0.746,4.2,2.4424794142572098e+41,3.4963726478993953e+28
Konvektif (Gercek Gozlem),TOI-1860,0.99,0.94,10.735252322946836,9.676763595364378e+41,6.9593282884951575e+28
Konvektif (Gercek Gozlem),GJ 3942,0.63,0.61,1.67,6.2164390815891e+40,1.763896502538121e+28
Konvektif (Gercek Gozlem),Kepler-26,0.544,0.512,1.9,5.125984494059522e+40,1.6017358723692853e+28
Konvektif (Gercek Gozlem),GJ 581,0.295,0.302,2.0,1.725892657398e+40,9.294138684342072e+27
Konvektif (Gercek Gozlem),HD 196885 A,1.28,1.31,7.8,1.2668660400614402e+42,7.962832957671772e+28
Konvektif (Gercek Gozlem),Kepler-51,0.96,0.87,5.353402648042022,4.330870736798369e+41,4.655752325210776e+28
Konvektif (Gercek Gozlem),Kepler-188,1.021,1.141,6.3,7.108971325146872e+41,5.964933952928327e+28
Konvektif (Gercek Gozlem),HIP 65407,0.93,0.952252,2.8,2.4018600569086475e+41,3.4671777580835665e+28
Konvektif (Gercek Gozlem),TOI-1444,0.9513,0.9105,2.0,1.6779625706328033e+41,2.897966712063519e+28
Radyatif (Gercek Gozlem),HD 43691,1.32,1.6,4.7,9.614940439104001e+41,6.937061699346528e+28
Konvektif (Gercek Gozlem),HATS-8,1.056,1.086,2.0,2.2216649610355202e+41,3.334583069804534e+28
Konvektif (Gercek Gozlem),KELT-16,1.211,1.36,7.6,1.2124154731066563e+42,7.789830236304464e+28
Konvektif (Gercek Gozlem),TOI-544,0.631,0.623,1.6294924181477353,6.204754125521161e+40,1.7622379366322489e+28
Konvektif (Gercek Gozlem),CoRoT-12,1.078,1.116,1.0,1.1653000952392804e+41,2.4150223206019043e+28
Konvektif (Gercek Gozlem),G 264-012,0.297,0.305,2.0,1.754854488387e+40,9.371795717701295e+27
Konvektif (Gercek Gozlem),K2-10,0.88,0.956,1.5,1.2223248749712002e+41,2.4734069857128193e+28
Konvektif (Gercek Gozlem),Kepler-19,0.936,0.859,2.0,1.5575924547892802e+41,2.7920884713737814e+28
Konvektif (Gercek Gozlem),TOI-237,0.1698,0.2056,6.4,2.1641910501399552e+40,1.0407587154445314e+28
Konvektif (Gercek Gozlem),HD 6434,1.1,1.12,2.2,2.625356077344001e+41,3.6249027996660865e+28
Konvektif (Gercek Gozlem),CoRoT-7,0.82,0.83,3.5,2.3073571103309997e+41,3.398283961875543e+28
Konvektif (Gercek Gozlem),TOI-2969,0.71,0.7,2.0,9.6281137134e+40,2.195193780155281e+28
Konvektif (Gercek Gozlem),HD 34445,1.07,1.38,2.7,3.8617259874102e+41,4.396357343863889e+28
Radyatif (Gercek Gozlem),HD 120084,2.16,10.37,2.44,5.2939173947849274e+42,1.627761747215532e+29
Konvektif (Gercek Gozlem),TOI-1224,0.4,0.404,22.1,3.4593018301296e+41,4.16098822079823e+28
Konvektif (Gercek Gozlem),TOI-1422,0.9903,1.019,1.7,1.6616697390625055e+41,2.883862923350068e+28
Konvektif (Gercek Gozlem),HATS-59,1.038,1.036,2.8,2.9165536303525445e+41,3.820649881535863e+28
Konvektif (Gercek Gozlem),HD 73267,0.93,0.909,1.65,1.3510941155261552e+41,2.6004293511728437e+28
Konvektif (Gercek Gozlem),HD 152843,1.15,1.43,8.38,1.3348507902830098e+42,8.173698603631865e+28
Konvektif (Gercek Gozlem),HD 217786,1.14,1.27,1.4,1.9633215541211998e+41,3.1347143737206437e+28
Radyatif (Gercek Gozlem),HR 8799,1.5,1.49338,34.79,7.548677040091578e+42,1.9437378003945055e+29
Konvektif (Gercek Gozlem),TOI-4342,0.587,0.598,2.059386941115445,7.002160580567904e+40,1.8720536517843475e+28
Radyatif (Gercek Gozlem),KOI-12,1.5,1.4,60.0,1.2204651185999999e+43,2.4715246361359675e+29
Konvektif (Gercek Gozlem),NGTS-16,1.002,1.213,2.5,2.9432242802371497e+41,3.8380792401198786e+28
Radyatif (Gercek Gozlem),HD 113337,1.41,1.5,6.3,1.2906418629195e+42,8.037206594073019e+28
Konvektif (Gercek Gozlem),K2-30,0.9,0.844,1.4,1.0300725600984e+41,2.270576648961847e+28
Konvektif (Gercek Gozlem),Kepler-179,0.893,0.759,3.0,1.96956045557271e+41,3.139691057700001e+28
Konvektif (Gercek Gozlem),HD 87646,1.12,1.55,7.5,1.2611472892200002e+42,7.944840146028487e+28
Konvektif (Gercek Gozlem),HR 858,1.204,1.258,7.5,1.10033066875914e+42,7.42102452785328e+28
Konvektif (Gercek Gozlem),HD 165155,1.02,0.95,1.5,1.407893690385e+41,2.654527258645481e+28
Konvektif (Gercek Gozlem),K2-351,1.02,1.05,2.10552391108977,2.1842607163838156e+41,3.3063931734953747e+28
Konvektif (Gercek Gozlem),HD 13908,1.29,1.67,4.2,8.764160016666601e+41,6.623040445904062e+28
Konvektif (Gercek Gozlem),AF Lep,1.218,1.25,54.7,8.066765906813251e+42,2.009333315749382e+29
Konvektif (Gercek Gozlem),TOI-125,0.859,0.848,1.0,7.055760692635201e+40,1.8792050867522883e+28
Konvektif (Gercek Gozlem),HD 126525,0.897,0.979,3.0,2.55182692844079e+41,3.5737804281674474e+28
Konvektif (Gercek Gozlem),HD 109271,1.047,1.294595,2.7,3.544860895937193e+41,4.212130877146647e+28
Radyatif (Gercek Gozlem),HD 158996,1.8,50.3,4.2,3.6833637279348007e+43,4.2936294546185015e+29
Konvektif (Gercek Gozlem),HD 100777,1.08,1.04,1.8,1.9583234588736e+41,3.1307217559344174e+28
Konvektif (Gercek Gozlem),HD 31527,0.96,1.073694,1.9,1.8969687943582522e+41,3.081288417221173e+28
Konvektif (Gercek Gozlem),HD 217786,1.14,1.27,1.4,1.9633215541211998e+41,3.1347143737206437e+28
Konvektif (Gercek Gozlem),Kepler-322,0.908,0.89,6.3,4.9314113582151606e+41,4.968071912684578e+28
Radyatif (Gercek Gozlem),HATS-66,1.411,1.841,12.86,3.2357622003445886e+42,1.2725960084697214e+29
Konvektif (Gercek Gozlem),TOI-7041,1.07,4.1,3.0,1.274804875071e+42,7.987743598873924e+28
Konvektif (Gercek Gozlem),Kepler-414,0.89,0.946,6.1,4.974687501523741e+41,4.9898232276767246e+28
Konvektif (Gercek Gozlem),HD 210193,1.04,1.05971,2.0,2.1350359594680482e+41,3.2689242363510423e+28
Konvektif (Gercek Gozlem),HD 34445,1.07,1.38,2.7,3.8617259874102e+41,4.396357343863889e+28
Konvektif (Gercek Gozlem),V0391 Peg,0.5,0.23,0.099,1.102777410735e+39,2.3493417078269255e+27
Radyatif (Gercek Gozlem),HAT-P-13,1.32,1.756,1.66,3.727016859357793e+41,4.318997341377254e+28
Konvektif (Gercek Gozlem),Qatar-5,1.128,1.076,4.5,5.290402455243359e+41,5.145725485000514e+28
Konvektif (Gercek Gozlem),K2-132,1.08,3.85,3.36,1.3532517235036802e+42,8.229843041739963e+28
Radyatif (Gercek Gozlem),WASP-76,1.458,1.756,1.48,3.670274762594295e+41,4.285993881998433e+28
Radyatif (Gercek Gozlem),KELT-15,2.06,1.78,7.6,2.6993278870084803e+42,1.1623316903804623e+29
Konvektif (Gercek Gozlem),K2-290,1.194,1.511,6.5,1.1358918258588807e+42,7.539989571324334e+28
Radyatif (Gercek Gozlem),DMPP-2,1.41,1.78,5.1,1.2398356435537798e+42,7.87742572251257e+28
Konvektif (Gercek Gozlem),HD 109271,1.047,1.294595,2.7,3.544860895937193e+41,4.212130877146647e+28
Radyatif (Gercek Gozlem),HATS-41,1.496,1.71,19.21,4.7600322514440705e+42,1.543502032472352e+29
Konvektif (Gercek Gozlem),HD 45350,0.98,1.26442,1.4,1.6803521057277868e+41,2.900029430771052e+28
Konvektif (Gercek Gozlem),GJ 3323,0.164,0.119,0.18244045670818454,3.448790286727855e+38,1.3138193424624848e+27
Konvektif (Gercek Gozlem),HD 284149 A,1.13,1.36,27.0,4.019165987709601e+42,1.4183069443682647e+29
Radyatif (Gercek Gozlem),WASP-142,1.33,1.64,3.1,6.549558255349201e+41,5.725432022877802e+28
Konvektif (Gercek Gozlem),HD 29021,0.86,0.85,2.7,1.9117714322069998e+41,3.093287181401303e+28
Konvektif (Gercek Gozlem),HD 168443,0.98,1.711479,2.2,3.574169608781412e+41,4.229507865069853e+28
Konvektif (Gercek Gozlem),WASP-53,0.839,0.798,0.86,5.577224543939411e+40,1.6707494353269585e+28
Konvektif (Gercek Gozlem),KOI-94,1.277,1.52,7.3,1.372499427047112e+42,8.288164152414754e+28
Konvektif (Gercek Gozlem),TOI-5624,0.858,0.82,2.0,1.3629689505432e+41,2.6118320043860276e+28
Konvektif (Gercek Gozlem),TOI-220,0.825,0.858,2.9,1.98835561839915e+41,3.1546362423927052e+28
Radyatif (Gercek Gozlem),WASP-8,1.34,1.03,1.9,2.540097871201801e+41,3.5655578187104988e+28
Konvektif (Gercek Gozlem),HD 106252,1.05,1.05,1.9,2.0290232596725006e+41,3.1867336835594585e+28
Konvektif (Gercek Gozlem),GJ 508.2,0.54,0.53,2.0,5.544398681640001e+40,1.6658254155628481e+28
Konvektif (Gercek Gozlem),HAT-P-66,1.255,1.881,7.57,1.7309448357169467e+42,9.307732036404402e+28
Konvektif (Gercek Gozlem),DMPP-9,1.1,1.26,3.22,4.322887450081201e+41,4.6514592682006504e+28
Konvektif (Gercek Gozlem),HIP 56998,0.653,0.63,2.47,9.84250197220563e+40,2.2194993046329345e+28
Konvektif (Gercek Gozlem),HD 20329,0.9,1.13,3.5,3.447813960045e+41,4.154073437765797e+28
Konvektif (Gercek Gozlem),GJ 876,0.32,0.3,0.16,1.4878050969600003e+39,2.72882244874172e+27
Konvektif (Gercek Gozlem),TOI-1052,1.204,1.264,5.0,7.3705244584608e+41,6.073673666250773e+28
Radyatif (Gercek Gozlem),HAT-P-29,1.45,1.3,3.9,7.120832793165e+41,5.96990818770227e+28
Konvektif (Gercek Gozlem),YZ Cet,0.142,0.157,2.0,4.318896722868e+39,4.6493117462753614e+27
Konvektif (Gercek Gozlem),Kepler-434,1.198,1.38,3.0,4.8040994111291985e+41,4.903523386019815e+28
Konvektif (Gercek Gozlem),HD 11755,0.72,20.58,2.3,3.301114052789279e+42,1.2853829140105566e+29
Konvektif (Gercek Gozlem),HD 128717,1.212,1.248,6.1,8.937208022311295e+41,6.688106673972756e+28
Konvektif (Gercek Gozlem),HAT-P-46,1.284,1.396,4.9,8.507488065790895e+41,6.525336799683506e+28
Konvektif (Gercek Gozlem),HD 39855,0.87,0.744665,3.0,1.8825922906232718e+41,3.0695901741035906e+28
Konvektif (Gercek Gozlem),BD-11 4672,0.651,0.639,1.0,4.029365589057901e+40,1.4201054517263757e+28
Konvektif (Gercek Gozlem),V1298 Tau,1.1,1.32,24.77,3.4837537519184404e+42,1.320462228333577e+29
Konvektif (Gercek Gozlem),HD 47186,0.96,1.08,2.2,2.2093905689856e+41,3.3253587559515717e+28
Konvektif (Gercek Gozlem),81 Cet,1.23,11.21,1.8,2.4040198849703407e+42,1.0969107327585099e+29
Konvektif (Gercek Gozlem),Kepler-391,1.27,2.879,2.6,9.20817491304438e+41,6.7887378448978755e+28
Konvektif (Gercek Gozlem),Kepler-409,0.913,0.897,2.0,1.5865291015774201e+41,2.8179045572873973e+28
Konvektif (Gercek Gozlem),HIP 41378,1.22,1.3,5.6,8.602923013776e+41,6.561834556099508e+28
Radyatif (Gercek Gozlem),HD 200964,1.39,4.92,2.28,1.510322097224304e+42,8.694348541309634e+28
Konvektif (Gercek Gozlem),HD 39091,1.07,1.17,3.16,3.8318768976524406e+41,4.379333630966418e+28
Konvektif (Gercek Gozlem),HATS-43,0.837,0.812,1.11,7.307339623198523e+40,1.9124139559044218e+28
Konvektif (Gercek Gozlem),WASP-49,0.92,0.97,0.9,7.779593370276002e+40,1.9732436178823723e+28
Radyatif (Gercek Gozlem),HAT-P-13,1.32,1.756,1.66,3.727016859357793e+41,4.318997341377254e+28
Konvektif (Gercek Gozlem),HD 30669,0.92,0.91,1.7,1.3785831550764004e+41,2.6267500054198107e+28
Konvektif (Gercek Gozlem),Kepler-25,1.165,1.316,9.34,1.3870225357642837e+42,8.33189938342691e+28
Radyatif (Gercek Gozlem),WASP-66,1.33,1.76,11.8,2.6754765115478402e+42,1.1571850902543754e+29
Radyatif (Gercek Gozlem),HATS-64,1.564,2.113,12.65,4.049315331258998e+42,1.4236166443180827e+29
Konvektif (Gercek Gozlem),HIP 94235,1.094,1.08,24.4,2.792452087702368e+42,1.1822113463838446e+29
Konvektif (Gercek Gozlem),GJ 411,0.3899,0.3685,2.0,2.78339952984093e+40,1.1802935472916232e+28
Konvektif (Gercek Gozlem),HD 126614,0.96,1.369794,1.5,1.9106123390486495e+41,3.0923493204298265e+28
Konvektif (Gercek Gozlem),G 261-6,0.118,0.153162,0.0679726664161275,1.1899320695039035e+38,7.717263740136784e+26
Konvektif (Gercek Gozlem),KOI-351,1.2,1.2,4.6,6.4161594806399995e+41,5.666825417596126e+28
Konvektif (Gercek Gozlem),HIP 111909,1.28,4.53,3.13,1.7579533074405123e+42,9.380066685426531e+28
Konvektif (Gercek Gozlem),Kepler-33,1.291,1.82,3.4,7.738047187841878e+41,6.223259990078633e+28
Konvektif (Gercek Gozlem),HD 153950,1.25,1.28,5.0,7.74898488e+41,6.22765671084302e+28
Konvektif (Gercek Gozlem),HD 260655,0.439,0.439,2.0,3.7334802876462004e+40,1.366970648030043e+28
Konvektif (Gercek Gozlem),CoRoT-13,1.09,1.01,4.0,4.265428727196e+41,4.620442849782703e+28
Konvektif (Gercek Gozlem),Kepler-413,0.82,0.7761,5.0,3.0821684222510995e+41,3.9276288495267897e+28
Konvektif (Gercek Gozlem),HR 2562,1.3,1.334,43.51,7.308749744722064e+42,1.9125984694300833e+29
Konvektif (Gercek Gozlem),GJ 86,0.93,0.77,2.37,1.6439054914982701e+41,2.8684063890432357e+28
Konvektif (Gercek Gozlem),GJ 849,0.45,0.45,1.0,1.9614617977500004e+40,9.908141155062774e+27
Konvektif (Gercek Gozlem),HD 190360,0.996,1.14,2.2,2.41958953284048e+41,3.479950821768078e+28
Konvektif (Gercek Gozlem),K2-95,0.41,0.4,2.6,4.1302089410399993e+40,1.4377661987131851e+28
Konvektif (Gercek Gozlem),HD 23127,1.208,1.49,3.3,5.7533655568989595e+41,5.366155365613513e+28
Konvektif (Gercek Gozlem),TOI-4562,1.192,1.152,17.0,2.2611661863598076e+42,1.0638208533338175e+29
Konvektif (Gercek Gozlem),HD 21411,0.89,0.825605,2.0,1.423466147262159e+41,2.669167509075123e+28
Radyatif (Gercek Gozlem),TOI-201,1.32,1.31,9.52,1.5945458138850244e+42,8.933481840360077e+28
Konvektif (Gercek Gozlem),XO-5,1.04,1.13,1.8,2.0489865819695996e+41,3.2023722609880856e+28
Konvektif (Gercek Gozlem),GJ 9827,0.62,0.58,1.75,6.09554523123e+40,1.7466606536628842e+28
Konvektif (Gercek Gozlem),GJ 367,0.451,0.457,0.4506993836906205,8.997762646207286e+39,6.710726270539914e+27
Konvektif (Gercek Gozlem),NGTS-4,0.75,0.84,2.75,1.678139538075e+41,2.8981195260310026e+28
Konvektif (Gercek Gozlem),HD 216770,0.74,0.93,1.4,9.332489940228e+40,2.161230178856477e+28
Radyatif (Gercek Gozlem),TOI-6016,1.31,1.51,8.4,1.60946803406844e+42,8.975185550119902e+28
Radyatif (Gercek Gozlem),HD 106270,1.39,2.66,3.13,1.120974158204082e+42,7.490314594389679e+28
Konvektif (Gercek Gozlem),TOI-5720,0.383,0.383,3.4,4.83093608301486e+40,1.554955281490392e+28
Radyatif (Gercek Gozlem),HAT-P-39,1.404,1.625,12.7,2.80659030434055e+42,1.185200342567575e+29
Konvektif (Gercek Gozlem),WASP-43,0.58,0.6,4.0,1.3483233691199999e+41,2.5977615769756102e+28
Konvektif (Gercek Gozlem),TOI-181,0.822,0.745,2.28,1.352439242439012e+41,2.601723501329923e+28
Konvektif (Gercek Gozlem),HATS-16,0.97,1.238,6.17,7.176825214386283e+41,5.993333472955552e+28
Konvektif (Gercek Gozlem),TOI-251,1.036,0.881,11.5,1.016689482036774e+42,7.133397469740488e+28
Konvektif (Gercek Gozlem),K2-3,0.549,0.546,0.6785465857021212,1.970150862843869e+40,9.930062904709361e+27
Konvektif (Gercek Gozlem),HATS-3,1.209,1.404,9.12,1.4994882724595158e+42,8.663109319757073e+28
Radyatif (Gercek Gozlem),CoRoT-36,1.32,1.52,25.6,4.9752202442342405e+42,1.5780051401498854e+29
Konvektif (Gercek Gozlem),TOI-1478,0.947,1.048,1.24,1.1920316134001184e+41,2.4425650843307702e+28
Konvektif (Gercek Gozlem),GJ 832,0.45,0.441557,2.1,4.0417868728024515e+40,1.4222926396329201e+28
Konvektif (Gercek Gozlem),Barnard's star,0.162,0.185,0.0659130659370024,1.913432219958504e+38,9.786080848649346e+26
Konvektif (Gercek Gozlem),HD 222155,1.21,1.85,3.2,6.938441061552001e+41,5.892956154596774e+28
Konvektif (Gercek Gozlem),KOI-351,1.2,1.2,4.6,6.4161594806399995e+41,5.666825417596126e+28
Konvektif (Gercek Gozlem),WASP-151,1.081,1.181,4.25,5.255564230001768e+41,5.128754748989673e+28
