#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-08-02T07:43:00 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-02T07:43:00	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/508/1195&-out.max=150&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75081195
#Name: J/MNRAS/508/1195
#Title: The bTFr of MIGHTEE-H I spiral galaxies (Ponomareva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/508/1195	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/508/1195	    IVOID of underlying data collection
#INFO	creator=Ponomareva A.A.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.508.1195P	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/508/1195	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75081195	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_508_1195_tablem:
#Name: J/MNRAS/508/1195/tablem
#Title: The MIGHTEE-HI baryonic Tully-Fisher relation sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	Source identifier name designation (JHHMMSS.ss+DDMMSS.s) (name)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Freq	(F6.3)	[1.313-1.412] observed frequency (freq)	[ucd=em.freq]
#Column	zsp	(F6.3)	Spectroscopic redshift (z) (1)	[ucd=src.redshift]
#Column	logMHI	(F6.3)	Logarithm of the total H I mass (logMHI) (2)	[ucd=phys.mass]
#Column	logM*	(F6.3)	Logarithm of the stellar mass (logM*) (2)	[ucd=phys.mass]
#Column	I3DB	(F6.3)	Inclination angle from the second run of the 3D Barolo (I_3DB_) (3)	[ucd=src.orbital.inclination]
#Column	iHI	(F6.3)	Inclination angle measured from the H I moment-0 maps (i_HI_) (4)	[ucd=src.orbital.inclination]
#Column	PA	(F7.3)	Kinematic position angle of each source (PA)	[ucd=pos.posAng]
#Column	Vout	(F7.3)	Rotational velocity measured as the outermost from the resolved H I rotation curves (V_out_) (5)	[ucd=phys.veloc.rotat]
#Column	W50	(F7.3)	Measured FWHM of the H I curve (W_50_) (6)	[ucd=phys.angSize]
#Column	Nbeams	(F6.3)	Number of beams along the major axis (N_beams_)	[ucd=meta.number]
recno	ID	RAJ2000	DEJ2000	Freq	zsp	logMHI	logM*	I3DB	iHI	PA	Vout	W50	Nbeams
      24	J021729.0-050827	034.371	-05.141	 1.361	 0.044	 9.801	 9.618	26.500	26.463	235.415	 80.100	101.840	 4.704
      25	J021544.5-045540	033.935	-04.928	 1.361	 0.044	10.004	 9.140	68.995	66.845	  6.409	 93.066	225.532	 5.826
      26	J021702.2-044454	034.259	-04.748	 1.345	 0.056	 9.640	10.171	49.312	47.638	169.020	123.602	254.327	 3.230
      27	J021708.4-041349	034.285	-04.230	 1.345	 0.056	10.302	 9.514	34.999	30.046	223.889	 81.236	161.269	 6.405
      28	J021609.9-051858	034.041	-05.316	 1.345	 0.056	10.572	10.463	48.851	45.595	 61.296	 89.052	185.127	 8.587
      29	J021702.7-051940	034.261	-05.328	 1.348	 0.054	10.043	 9.120	27.178	23.465	 96.795	 95.801	140.860	 5.052
      30	J021719.4-052851	034.331	-05.481	 1.396	 0.018	10.275	 9.751	61.310	60.704	318.598	121.437	239.520	18.493
      31	J022002.8-042547	035.012	-04.430	 1.396	 0.018	 8.772	 8.550	60.311	56.740	106.020	 64.632	132.832	 3.623
      32	J022154.1-044023	035.476	-04.673	 1.313	 0.081	10.132	10.427	72.734	67.812	167.955	244.361	505.983	 3.864
      33	J022229.7-045314	035.624	-04.887	 1.314	 0.080	 9.904	10.332	61.498	57.943	 99.704	165.507	310.064	 3.104
      34	J022105.4-042951	035.273	-04.498	 1.364	 0.041	 9.503	10.232	40.249	35.795	294.909	118.926	227.803	 3.632
      35	J021947.7-045130	034.949	-04.858	 1.361	 0.044	 9.772	 9.642	76.422	74.816	 27.869	 98.340	234.274	 4.564
      36	J021947.2-044831	034.947	-04.809	 1.377	 0.032	 9.146	 8.783	76.193	71.345	291.932	 55.385	173.360	 3.197
      37	J021932.7-041447	034.886	-04.246	 1.362	 0.043	 9.804	 9.627	76.159	71.750	282.671	 94.815	241.330	 4.792
      38	J022051.5-045703	035.214	-04.951	 1.361	 0.044	10.420	 9.926	53.882	50.723	160.575	162.666	254.177	 9.147
      39	J022033.0-052605	035.137	-05.435	 1.364	 0.041	 9.980	10.010	49.182	48.077	 94.028	126.316	245.013	 5.960
      40	J022049.8-052913	035.208	-05.487	 1.375	 0.033	10.020	 9.227	73.208	68.338	108.768	 85.473	225.412	 7.633
      41	J022021.4-045803	035.089	-04.967	 1.375	 0.033	 9.560	10.395	74.078	69.378	124.971	191.913	358.193	 4.674
      42	J022128.8-042448	035.370	-04.413	 1.409	 0.008	 9.637	 8.423	71.604	76.229	 51.468	 81.555	178.216	18.892
      43	J022136.5-053117	035.402	-05.521	 1.410	 0.008	10.242	 9.896	40.956	39.008	119.422	163.484	270.784	41.310
      44	J022313.2-043102	035.805	-04.517	 1.396	 0.017	 9.973	 9.903	51.543	49.700	 46.574	 91.422	180.375	13.156
      45	J022430.0-043614	036.125	-04.604	 1.329	 0.069	10.455	10.735	43.359	42.909	331.433	205.051	322.045	 6.290
      46	J022336.8-042834	035.903	-04.476	 1.329	 0.069	 9.749	 8.950	71.029	70.757	156.839	 85.572	189.582	 3.044
      47	J022415.6-044153	036.065	-04.698	 1.329	 0.069	10.078	 9.609	58.738	58.557	 32.612	138.182	264.459	 4.232
      48	J022146.5-043621	035.444	-04.606	 1.321	 0.076	10.017	10.085	79.466	76.701	147.989	149.171	327.710	 3.687
      49	J022135.9-042519	035.400	-04.422	 1.329	 0.069	10.039	 9.264	56.658	52.547	 22.239	 89.873	180.975	 4.066
      50	J022307.6-052904	035.782	-05.484	 1.329	 0.069	10.392	10.652	79.082	74.512	 92.466	198.908	415.917	 5.880
      51	J022403.8-043305	036.016	-04.551	 1.360	 0.044	10.221	10.185	49.267	52.918	 84.680	119.182	249.747	 7.242
      52	J022455.3-041735	036.231	-04.293	 1.361	 0.044	10.076	10.759	39.467	38.461	161.538	230.013	312.927	 6.292
      53	J022429.6-044037	036.123	-04.677	 1.361	 0.044	 9.504	 8.550	73.921	73.946	 26.152	 84.618	207.837	 3.474
      54	J022350.6-045045	035.961	-04.846	 1.361	 0.044	10.117	 8.570	44.643	41.081	142.711	 66.486	122.301	 6.575
      55	J022438.7-043418	036.161	-04.572	 1.361	 0.044	 9.905	 9.614	62.166	65.024	315.188	 99.425	236.707	 5.245
      56	J022404.1-044812	036.017	-04.803	 1.361	 0.044	10.664	10.301	29.003	32.015	 28.706	118.363	150.716	11.990
      57	J022402.6-044136	036.011	-04.693	 1.361	 0.043	10.164	11.024	52.924	50.757	286.304	151.216	279.249	 6.917
      58	J022522.7-045519	036.345	-04.922	 1.370	 0.037	 9.558	 8.442	68.486	63.825	316.324	 92.172	179.013	 4.244
      59	J022447.5-044645	036.198	-04.779	 1.376	 0.033	10.121	 8.935	40.787	37.966	112.361	108.600	176.299	 8.707
      60	J022402.8-040935	036.012	-04.160	 1.375	 0.033	10.058	10.320	42.909	38.539	 83.135	118.968	179.329	 7.956
      61	J022248.8-045308	035.703	-04.886	 1.369	 0.037	 9.921	 9.057	42.087	45.666	 77.410	100.962	202.072	 6.102
      62	J022412.6-045953	036.053	-04.998	 1.365	 0.040	 9.829	 9.724	54.537	54.647	310.872	114.804	241.649	 5.163
      63	J022504.9-044225	036.270	-04.707	 1.349	 0.053	 9.712	 9.883	70.499	65.912	347.325	110.004	203.220	 3.640
      64	J022536.4-050012	036.402	-05.003	 1.348	 0.054	10.103	 9.589	56.183	54.899	 46.257	107.306	253.361	 5.382
      65	J022456.0-051918	036.233	-05.322	 1.348	 0.053	 9.844	 9.508	40.886	37.927	206.731	101.783	178.292	 4.110
      66	J022537.3-052542	036.405	-05.428	 1.346	 0.055	 9.886	10.185	63.944	59.720	222.199	146.969	293.710	 4.187
      67	J022350.6-043703	035.961	-04.618	 1.410	 0.008	 9.910	 8.361	40.616	45.616	 67.494	 81.313	105.542	28.219

